Date,Inflation,Unemployment,Misery Index
Jan-09,7.8,0.03,7.83
Feb-09,8.2,0.24,8.44
Mar-09,8.6,-0.38,8.22
Apr-09,8.9,-0.74,8.16
May-09,9.4,-1.28,8.12
Jun-09,9.5,-1.43,8.07
Jul-09,9.5,-2.1,7.4
Aug-09,9.7,-1.48,8.22
Sep-09,9.8,-1.29,8.51
Oct-09,10.1,-0.18,9.92
Nov-09,9.9,1.84,11.74
Dec-09,9.9,2.72,12.62
Jan-10,9.7,2.63,12.33
Feb-10,9.7,2.14,11.84
Mar-10,9.7,2.31,12.01
Apr-10,9.8,2.24,12.04
May-10,9.6,2.02,11.62
Jun-10,9.5,1.05,10.55
Jul-10,9.5,1.24,10.74
Aug-10,9.6,1.15,10.75
Sep-10,9.6,1.14,10.74
Oct-10,9.7,1.17,10.87
Nov-10,9.8,1.14,10.94
Dec-10,9.4,1.5,10.9
Jan-11,9.1,1.63,10.73
Feb-11,9,2.11,11.11
Mar-11,8.9,2.68,11.58
Apr-11,9,3.16,12.16
May-11,9,3.57,12.57
Jun-11,9.1,3.56,12.66
Jul-11,9.1,3.63,12.73
Aug-11,9.1,3.77,12.87
Sep-11,9,3.87,12.87
Oct-11,8.9,3.53,12.43
Nov-11,8.7,3.39,12.09
Dec-11,8.5,2.96,11.46
Jan-12,8.3,2.93,11.23
Feb-12,8.3,2.87,11.17
Mar-12,8.2,2.65,10.85
Apr-12,8.1,2.3,10.4
May-12,8.2,1.7,9.9
Jun-12,8.2,1.66,9.86
Jul-12,8.3,1.41,9.71
Aug-12,8.1,1.69,9.79
Sep-12,7.8,1.99,9.79
Oct-12,7.9,2.16,10.06
Nov-12,7.8,1.76,9.56
Dec-12,7.8,1.74,9.54
Jan-13,7.9,1.59,9.49
Feb-13,7.7,1.98,9.68
Mar-13,7.6,1.47,9.07
Apr-13,7.5,1.06,8.56
May-13,7.6,1.36,8.96
Jun-13,7.6,1.75,9.35
Jul-13,7.4,1.96,9.36
Aug-13,7.3,1.52,8.82
Sep-13,7.2,1.18,8.38
Oct-13,7.3,0.96,8.26
Nov-13,7,1.24,8.24
Dec-13,6.7,1.5,8.2
Jan-14,6.6,1.58,8.18
Feb-14,6.7,1.13,7.83
Mar-14,6.7,1.51,8.21
Apr-14,6.3,1.95,8.25
May-14,6.3,2.13,8.43
Jun-14,6.1,2.07,8.17
Jul-14,6.2,1.99,8.19
Aug-14,6.1,1.7,7.8
Sep-14,5.9,1.66,7.56
Oct-14,5.8,1.66,7.46
Nov-14,5.8,1.32,7.12
Dec-14,5.6,0.76,6.36
Jan-15,5.7,-0.09,5.61
Feb-15,5.5,-0.03,5.47
Mar-15,5.5,-0.07,5.43
Apr-15,5.4,-0.2,5.2
May-15,5.5,-0.04,5.46
Jun-15,5.3,0.12,5.42
Jul-15,5.3,0.17,5.47
Aug-15,5.1,0.2,5.3
Sep-15,5.1,-0.04,5.06
Oct-15,5,0.17,5.17
Nov-15,5,0.5,5.5
Dec-15,5,0.73,5.73
Jan-16,4.9,1.37,6.27
Feb-16,4.9,1.02,5.92
Mar-16,5,0.85,5.85
Apr-16,5,1.13,6.13
May-16,4.7,1.02,5.72
Jun-16,4.9,1.01,5.91
Jul-16,4.9,0.84,5.74
Aug-16,4.9,1.06,5.96
Sep-16,5,1.46,6.46
Oct-16,4.9,1.64,6.54
Nov-16,4.6,1.69,6.29
Dec-16,4.7,2.07,6.77
Jan-17,4.8,2.5,7.3
Feb-17,4.7,2.74,7.44
Mar-17,4.5,2.38,6.88
Apr-17,4.4,2.2,6.6
May-17,4.3,1.87,6.17
Jun-17,4.4,1.63,6.03
Jul-17,4.3,1.73,6.03
Aug-17,4.4,1.94,6.34
Sep-17,4.2,2.23,6.43
Oct-17,4.1,2.04,6.14
Nov-17,4.1,2.2,6.3
Dec-17,4.1,2.11,6.21
Jan-18,4.1,2.07,6.17
Feb-18,4.1,2.21,6.31
Mar-18,4.1,2.36,6.46
Apr-18,3.9,2.46,6.36
May-18,3.8,2.8,6.6
Jun-18,4,2.87,6.87
Jul-18,3.9,2.95,6.85
Aug-18,3.9,2.7,6.6
Sep-18,3.7,2.28,5.98
Oct-18,3.7,2.52,6.22
Nov-18,3.7,2.18,5.88
Dec-18,3.9,1.91,5.81
Jan-19,4,1.55,5.55
Feb-19,3.8,1.52,5.32
Mar-19,3.8,1.86,5.66
Apr-19,3.6,2,5.6
May-19,3.6,1.79,5.39
Jun-19,3.7,1.65,5.35
Jul-19,3.7,1.81,5.51
Aug-19,3.7,1.75,5.45
Sep-19,3.5,1.71,5.21
Oct-19,3.6,1.76,5.36
Nov-19,3.5,2.05,5.55
Dec-19,3.5,2.29,5.79
Jan-20,3.6,2.49,6.09
Feb-20,3.5,2.33,5.83
Mar-20,4.4,1.54,5.94
Apr-20,14.7,0.33,15.03
May-20,13.3,0.12,13.42
Jun-20,11.1,0.65,11.75
Jul-20,10.2,0.99,11.19
Aug-20,8.4,1.31,9.71
Sep-20,7.9,1.37,9.27
Oct-20,6.9,1.18,8.08
Nov-20,6.7,1.17,7.87
Dec-20,6.7,1.36,8.06
Jan-21,6.3,1.4,7.7
Feb-21,6.2,1.68,7.88
Mar-21,6,2.62,8.62
Apr-21,6.1,4.16,10.26
May-21,5.8,4.99,10.79
Jun-21,5.9,5.39,11.29
Jul-21,5.4,5.37,10.77
Aug-21,5.2,5.25,10.45
Sep-21,4.8,5.39,10.19
Oct-21,4.6,6.22,10.82
Nov-21,4.2,6.81,11.01
Dec-21,3.9,7.04,10.94
Jan-22,4,7.48,11.48
Feb-22,3.8,7.87,11.67
Mar-22,3.6,8.54,12.14
Apr-22,3.6,8.26,11.86
May-22,3.6,8.58,12.18
Jun-22,3.6,9.06,12.66
